no,sut,nama_komoditas,prov,wilayah,tahun_analisis,tipe_lahan,lokasi,tipe_landuse,sampingan,siklus tanam
177,MONOKULTUR,KELAPA,SULAWESI SELATAN,SULAWESI SELATAN,2012,MINERAL,BULUKUMBA,KEBUN,,
178,MONOKULTUR,KEMIRI,SULAWESI SELATAN,SULAWESI SELATAN,2012,MINERAL,BANTAENG,KEBUN,,
179,MONOKULTUR,KOPI,SULAWESI SELATAN,SULAWESI SELATAN,2012,MINERAL,SULAWESI SELATAN,KEBUN,,
180,MONOKULTUR,JAGUNG,SULAWESI SELATAN,SULAWESI SELATAN,2012,MINERAL,BANTAENG,KEBUN,,
181,MONOKULTUR,JATI,SULAWESI SELATAN,SULAWESI SELATAN,2012,MINERAL,BULUKUMBA,KEBUN,JAGUNG ,8 tahun
182,AGROFORESTRI,JATI AF,SULAWESI SELATAN,SULAWESI SELATAN,2012,MINERAL,BULUKUMBA,KEBUN,"JAGUNG, SENGON",9 tahun
183,MONOKULTUR,SAGU,SULAWESI TENGGARA,SULAWESI TENGGARA,2012,MINERAL,,KEBUN,,15 tahun
184,MONOKULTUR,NILAM,SULAWESI TENGGARA,SULAWESI TENGGARA,2012,MINERAL,,KEBUN,,2 tahun
185,MONOKULTUR,LADA,SULAWESI TENGGARA,SULAWESI TENGGARA,2012,MINERAL,,KEBUN,,20 tahun
186,MONOKULTUR,JATI,SULAWESI TENGGARA,SULAWESI TENGGARA,2012,MINERAL,,KEBUN,,20 tahun
187,MONOKULTUR,COKLAT,SULAWESI TENGGARA,SULAWESI TENGGARA,2012,MINERAL,KONAWE,KEBUN,,20 tahun
188,AGROFORESTRI,COKLAT AF NILAM,SULAWESI TENGGARA,SULAWESI TENGGARA,2012,MINERAL,,KEBUN,,20 tahun
189,AGROFORESTRI,COKLAT AF LADA,SULAWESI TENGGARA,SULAWESI TENGGARA,2012,MINERAL,,KEBUN,,"output lada nya g ada, dan tk lada nya 0"
190,AGROFORESTRI,COKLAT AF KELAPA,SULAWESI TENGGARA,SULAWESI TENGGARA,2012,MINERAL,,KEBUN,,20 tahun
191,AGROFORESTRI,SENGON AF,JAWA TIMUR,PASURUAN,2011,MINERAL,,KEBUN,,
192,MONOKULTUR,PADI,JAWA TIMUR,PASURUAN,2011,MINERAL,,SAWAH,,
193,MONOKULTUR,SENGON,JAWA TIMUR,PASURUAN,2011,MINERAL,,KEBUN,,
194,MONOKULTUR,TEBU,JAWA TIMUR,PASURUAN,2011,MINERAL,,KEBUN,,
195,AGROFORESTRI,KARET AF,JAMBI,MERANGIN,2011,MINERAL,,KEBUN,,
196,AGROFORESTRI,KOPI AF KARET,JAMBI,MERANGIN,2011,MINERAL,,KEBUN,,
BELUM,AGROFORESTRI,KAYU MANIS AF KOPI,JAMBI,MERANGIN,2011,MINERAL,,KEBUN,,
198,AGROFORESTRI,KOPI AF NILAM,JAMBI,MERANGIN,2011,MINERAL,,KEBUN,,
199,MONOKULTUR,KARET,JAMBI,MERANGIN,2011,MINERAL,,KEBUN,,
200,MONOKULTUR,KAYU MANIS,JAMBI,MERANGIN,2011,MINERAL,,KEBUN,,
201,MONOKULTUR,KELAPA SAWIT,JAMBI,MERANGIN,2011,MINERAL,,KEBUN,,
202,MONOKULTUR,KOPI,JAMBI,MERANGIN,2011,MINERAL,,KEBUN,,
203,MONOKULTUR,PADI IRIGASI,JAMBI,MERANGIN,2011,MINERAL,,SAWAH,,
204,MONOKULTUR,PADI LADANG,JAMBI,MERANGIN,2011,MINERAL,,SAWAH,,
205,AGROFORESTRI,KARET AF KEMIRI,KALIMANTAN SELATAN,KALIMANTAN SELATAN,2011,MINERAL,,KEBUN,,
206,AGROFORESTRI,KARET AF RAMBUTAN JENGKOL,KALIMANTAN SELATAN,KALIMANTAN SELATAN,2011,MINERAL,,KEBUN,,
207,AGROFORESTRI,KELAPA AF,KALIMANTAN SELATAN,KALIMANTAN SELATAN,2011,MINERAL,,KEBUN,,
208,AGROFORESTRI,LOGGING AF,KALIMANTAN SELATAN,KALIMANTAN SELATAN,2011,MINERAL,,KEBUN,,
209,MONOKULTUR,KARET ,KALIMANTAN SELATAN,KALIMANTAN SELATAN,2011,MINERAL,,KEBUN,,
210,MONOKULTUR,KELAPA SAWIT ,KALIMANTAN SELATAN,KALIMANTAN SELATAN,2011,MINERAL,,KEBUN,,
211,MONOKULTUR,KELAPA SAWIT LARGE SCALE,KALIMANTAN SELATAN,KALIMANTAN SELATAN,2011,MINERAL,,KEBUN,,
212,MONOKULTUR,PADI IRIGASI,KALIMANTAN SELATAN,KALIMANTAN SELATAN,2011,MINERAL,,SAWAH,,
213,MONOKULTUR,PADI LADANG,KALIMANTAN SELATAN,KALIMANTAN SELATAN,2011,MINERAL,,SAWAH,,
214,MONOKULTUR,UBI,KALIMANTAN SELATAN,KALIMANTAN SELATAN,2011,MINERAL,,KEBUN,,
215,AGROFORESTRI,KELAPA AF COKLAT,GORONTALO,GORONTALO,2011,MINERAL,,KEBUN,,
216,AGROFORESTRI,KELAPA AF JAGUNG,GORONTALO,GORONTALO,2011,MINERAL,,KEBUN,,
217,AGROFORESTRI,KEMIRI AF,GORONTALO,GORONTALO,2011,MINERAL,,KEBUN,,
218,AGROFORESTRI,LOGGING AF,GORONTALO,GORONTALO,2011,MINERAL,,KEBUN,,
219,MONOKULTUR,CENGKEH,GORONTALO,GORONTALO,2011,MINERAL,,KEBUN,,
220,MONOKULTUR,JAGUNG,GORONTALO,GORONTALO,2011,MINERAL,,KEBUN,,
221,MONOKULTUR,JATI,GORONTALO,GORONTALO,2011,MINERAL,,KEBUN,,
222,MONOKULTUR,KELAPA SAWIT LARGE SCALE,GORONTALO,GORONTALO,2011,MINERAL,,KEBUN,,
223,MONOKULTUR,KELAPA SAWIT,GORONTALO,GORONTALO,2011,MINERAL,,KEBUN,,
224,MONOKULTUR,KELAPA,GORONTALO,GORONTALO,2011,MINERAL,,KEBUN,,
225,MONOKULTUR,PADI IRIGASI,GORONTALO,GORONTALO,2011,MINERAL,,SAWAH,,
